département;circonscription;sexe;nom;Parti Politique;Mail;Facebook;;Twitter
Aude;2ème circonscription;Monsieur;Alain Perea;LREM;alain.perea@assemblee-nationale.fr;https://fr-fr.facebook.com/pereaalain/;@pereaalain;https://twitter.com/@pereaalain
Aude;3ème circonscription;Madame;Mireille Robert;LREM;mireille.robert@assemblee-nationale.fr;https://fr-fr.facebook.com/MireilleRobertEnMarche/;@MRobert_11;https://twitter.com/@MRobert_11
Aveyron;1ère circonscription;Monsieur;Stéphane Mazars;LREM;stephane.mazars@assemblee-nationale.fr;https://fr-fr.facebook.com/StephaneMazars/;@s_mazars;https://twitter.com/@s_mazars
Aveyron;2ème circonscription;Madame;Anne Blanc;LREM;anne.blanc@assemblee-nationale.fr;https://fr-fr.facebook.com/AnneBlancOfficiel/;@AnneBlanc_12;https://twitter.com/@AnneBlanc_12
Aveyron;3ème circonscription;Monsieur;Arnaud Viala;LR;arnaud.viala@assemblee-nationale.fr;https://fr-fr.facebook.com/ArnaudViala.fr/;@arnaudviala;https://twitter.com/@arnaudviala
Bas-Rhin;1ère circonscription;Monsieur;Thierry Michels;LREM;thierry.michels@assemblee-nationale.fr;https://fr-fr.facebook.com/ThierryMichels67/;@ThierryMichels;https://twitter.com/@ThierryMichels
Bas-Rhin;2ème circonscription;Monsieur;Sylvain Waserman;MODEM;sylvain.waserman@assemblee-nationale.fr;https://fr-fr.facebook.com/wasermansylvain/;@SylvainWaserman;https://twitter.com/@SylvainWaserman
Bas-Rhin;3ème circonscription;Monsieur;Bruno Studer;LREM;bruno.studer@assemblee-nationale.fr;https://fr-fr.facebook.com/BrunoStuder67/;@brunostuder67;https://twitter.com/@brunostuder67
Bas-Rhin;4ème circonscription;Madame;Martine Wonner;Libertéetterritoire;martine.wonner@assemblee-nationale.fr;https://www.facebook.com/Martine.Wonner/;@MartineWonner;https://twitter.com/@MartineWonner
Bas-Rhin;5ème circonscription;Monsieur;Antoine Herth;AE;antoine.herth@assemblee-nationale.fr;https://fr-fr.facebook.com/antoine.herth/;@antoineherth;https://twitter.com/@antoineherth
Bas-Rhin;6ème circonscription;Monsieur;Philippe Meyer;LR;philippe.meyer@assemblee-nationale.fr;Pas de compte Facebook;Pas de compte Twitter;Pas de compte Twitter
Bas-Rhin;7ème circonscription;Monsieur;Patrick Hetzel;LR;patrick.hetzel@assemblee-nationale.fr;https://fr-fr.facebook.com/Patrick-Hetzel/;@patrickhetzel;https://twitter.com/@patrickhetzel
Bas-Rhin;8ème circonscription;Monsieur;Frédéric Reiss;LR;frederic.reiss@assemblee-nationale.fr;Pas de compte Facebook;Pas de compte Twitter;Pas de compte Twitter
Bas-Rhin;9ème circonscription;Monsieur;Vincent Thiébaut;LREM;vincent.thiebaut@assemblee-nationale.fr;https://fr-fr.facebook.com/VincentThiebautDepute/;@VincentThiebaut;https://twitter.com/@VincentThiebaut
Bouches-du-Rhône;1ère circonscription;Monsieur;Julien Ravier;LR;julien.ravier@assemblee-nationale.fr;https://www.facebook.com/julienravier1112/;https:twitter.comJuRavier;https://twitter.com/https:twitter.comJuRavier
Bouches-du-Rhône;2ème circonscription;Madame;Claire Pitollat;LREM;claire.pitollat@assemblee-nationale.fr;https://fr-fr.facebook.com/clairepitollat/;@clairepitollat;https://twitter.com/@clairepitollat
Bouches-du-Rhône;3ème circonscription;Madame;Alexandra Louis;LREM;alexandra.louis@assemblee-nationale.fr;https://www.facebook.com/ALouisDeputee13/;@ALouisDeputee13;https://twitter.com/@ALouisDeputee13
Bouches-du-Rhône;4ème circonscription;Monsieur;Jean-Luc Mélenchon;FI;jean-luc.melenchon@assemblee-nationale.fr;https://fr-fr.facebook.com/jlmelenchon/;@jlmelenchon;https://twitter.com/@jlmelenchon
Bouches-du-Rhône;5ème circonscription;Madame;Cathy Racon-Bouzon;LREM;cathy.racon-bouzon@assemblee-nationale.fr;https://fr-fr.facebook.com/REM13circo5/;@RaconCathy;https://twitter.com/@RaconCathy
Bouches-du-Rhône;6ème circonscription;Monsieur;Guy Teissier;LR;guy.teissier@assemblee-nationale.fr;Pas de compte Facebook;@guyteissier;https://twitter.com/@guyteissier
Bouches-du-Rhône;7ème circonscription;Monsieur;Saïd Ahamada;LREM;said.ahamada@assemblee-nationale.fr;https://www.facebook.com/deputesaidahamada/;@saidahamada;https://twitter.com/@saidahamada
Bouches-du-Rhône;8ème circonscription;Monsieur;Jean-Marc Zulesi;LREM;jean-marc.zulesi@assemblee-nationale.fr;https://fr-fr.facebook.com/jmzulesi/;@jmzulesi;https://twitter.com/@jmzulesi
Bouches-du-Rhône;9ème circonscription;Monsieur;Bernard Deflesselles;LR;bernard.deflesselles@assemblee-nationale.fr;https://fr-fr.facebook.com/bernarddeflesselles/;@BDeflesselles;https://twitter.com/@BDeflesselles
Bouches-du-Rhône;10ème circonscription;Monsieur;François-Michel Lambert;Libertéetterritoire;francois-michel.lambert@assemblee-nationale.fr;https://www.facebook.com/depute.lambertfm;@fm_lambert;https://twitter.com/@fm_lambert
Bouches-du-Rhône;11ème circonscription;Monsieur;Mohamed Laqhila;MODEM;mohamed.laqhila@assemblee-nationale.fr;https://fr-fr.facebook.com/laqhila11/;@laqhila;https://twitter.com/@laqhila
Bouches-du-Rhône;12ème circonscription;Monsieur;Éric Diard;LR;eric.diard@assemblee-nationale.fr;https://fr-fr.facebook.com/eric.diard.3/;@DiardEric;https://twitter.com/@DiardEric
Bouches-du-Rhône;13ème circonscription;Monsieur;Pierre Dharréville;GDR;pierre.dharreville@assemblee-nationale.fr;https://www.facebook.com/pierre.dharreville;@pdharreville;https://twitter.com/@pdharreville
Bouches-du-Rhône;14ème circonscription;Madame;Anne-Laurence Petel;LREM;anne-laurence.petel@assemblee-nationale.fr;https://fr-fr.facebook.com/petelannelaurence/;@al_petel;https://twitter.com/@al_petel
Bouches-du-Rhône;15ème circonscription;Monsieur;Bernard Reynès;LR;bernard.reynes@assemblee-nationale.fr;https://fr-fr.facebook.com/bernard.reynes/;@bernardreynes;https://twitter.com/@bernardreynes
Bouches-du-Rhône;16ème circonscription;Madame;Monica Michel;LREM;monica.michel@assemblee-nationale.fr;https://fr-fr.facebook.com/MonicaMichelEM/;@MonicaMichel_Of;https://twitter.com/@MonicaMichel_Of
Calvados;1ère circonscription;Monsieur;Fabrice Le Vigoureux;LREM;fabrice.levigoureux@assemblee-nationale.fr;https://fr-fr.facebook.com/LeVigoureuxF/;@LeVigoureuxF;https://twitter.com/@LeVigoureuxF
Calvados;2ème circonscription;Madame;Laurence Dumont;PS;laurence.dumont@assemblee-nationale.fr;https://www.facebook.com/LaurenceDumontDeputee;@LDumontDeputee;https://twitter.com/@LDumontDeputee
Calvados;3ème circonscription;Madame;Nathalie Porte;LR;nathalie.porte@assemblee-nationale.fr;https://www.facebook.com/NathDijols;@nathporte;https://twitter.com/@nathporte
Calvados;4ème circonscription;Monsieur;Christophe Blanchet;MODEM;christophe.blanchet@assemblee-nationale.fr;https://fr-fr.facebook.com/christopheblanchet2017/;@blanchet2017;https://twitter.com/@blanchet2017
Calvados;5ème circonscription;Monsieur;Bertrand Bouyx;LREM;bertrand.bouyx@assemblee-nationale.fr;https://fr-fr.facebook.com/bertrandbouyx/;@BertrandBouyx;https://twitter.com/@BertrandBouyx
Calvados;6ème circonscription;Monsieur;Alain Tourret;LREM;alain.tourret@assemblee-nationale.fr ;https://www.facebook.com/alain.tourret.96;@AlainTourret;https://twitter.com/@AlainTourret
Cantal;1ère circonscription;Monsieur;Vincent Descœur;LR;vincent.descoeur@assemblee-nationale.fr;https://www.facebook.com/VincentDescoeur/;@VincentDescoeur;https://twitter.com/@VincentDescoeur
Cantal;2ème circonscription;Monsieur;Jean-Yves Bony;LR;jean-yves.bony@assemblee-nationale.fr;https://www.facebook.com/jeanyves.bony.165;Pas de compte Twitter;Pas de compte Twitter
Charente;1ère circonscription;Monsieur;Thomas Mesnier;LREM;thomas.mesnier@assemblee-nationale.fr;https://fr-fr.facebook.com/thomasmesnier.fr/;@MESNIERThomas;https://twitter.com/@MESNIERThomas
Charente;2ème circonscription;Madame;Sandra Marsaud;LREM;sandra.marsaud@assemblee-nationale.fr;https://fr-fr.facebook.com/sandramarsaudlarepubliquenmarche/;@MARSAUDSandra;https://twitter.com/@MARSAUDSandra
Charente;3ème circonscription;Monsieur;Jérôme Lambert;PS;jerome.lambert@assemblee-nationale.fr;https://www.facebook.com/jeromelambert.parlementaire;@jeromelambert16;https://twitter.com/@jeromelambert16
Charente-Maritime;1ère circonscription;Monsieur;Olivier Falorni;Libertéetterritoire;olivier.falorni@assemblee-nationale.fr;https://fr-fr.facebook.com/olivierfalorni/;@OlivierFalorni;https://twitter.com/@OlivierFalorni
Charente-Maritime;2ème circonscription;Madame;Frédérique Tuffnell;MODEM;frederique.tuffnell@assemblee-nationale.fr;https://fr-fr.facebook.com/Frederique.Tuffnell.Younes.Biar/;@TuffnellLREM17;https://twitter.com/@TuffnellLREM17
Charente-Maritime;3ème circonscription;Monsieur;Jean-Philippe Ardouin;LREM;jean-philippe.ardouin@assemblee-nationale.fr;https://fr-fr.facebook.com/jpardouin/;;Pas de compte Twitter
Charente-Maritime;4ème circonscription;Monsieur;Raphaël Gérard;LREM;raphael.gerard@assemblee-nationale.fr;https://fr-fr.facebook.com/RaphaelGerardDepute17/;@RaphaelGerard17;https://twitter.com/@RaphaelGerard17
Charente-Maritime;5ème circonscription;Monsieur;Didier Quentin;LR;didier.quentin@assemblee-nationale.fr;https://www.facebook.com/Didier-QUENTIN-144895491342/;@didierquentin;https://twitter.com/@didierquentin
Cher;1ère circonscription;Monsieur;François Cormier-Bouligeon;LREM;francois.cormier-bouligeon@assemblee-nationale.fr;https://www.facebook.com/FrancoisCormierBouligeonAN/;@FCBDeputeduCher;https://twitter.com/@FCBDeputeduCher
Cher;2ème circonscription;Madame;Nadia Essayan;MODEM;nadia.essayan@assemblee-nationale.fr;https://fr-fr.facebook.com/nadia.essayan/;@nadiaessayan;https://twitter.com/@nadiaessayan
Cher;3ème circonscription;Monsieur;Loïc Kervran;LREM;loic.kervran@assemblee-nationale.fr;https://fr-fr.facebook.com/facebook.com/LoicKervran18/;@LoicKervran18;https://twitter.com/@LoicKervran18
Corrèze;1ère circonscription;Monsieur;Christophe Jerretie;MODEM;christophe.jerretie@assemblee-nationale.fr;https://fr-fr.facebook.com/christophe.jerretie/;@cjerretie;https://twitter.com/@cjerretie
Corrèze;2ème circonscription;Madame;Frédérique Meunier;LR;frederique.meunier@assemblee-nationale.fr;https://www.facebook.com/profile.php?id=100014963402726;@fmeunier19;https://twitter.com/@fmeunier19
Corse-du-Sud;1ère circonscription;Monsieur;Jean-Jacques Ferrara;LR;jean-jacques.ferrara@assemblee-nationale.fr;https://www.facebook.com/jeanjacquesferrara/;@jjferrarafb;https://twitter.com/@jjferrarafb
Corse-du-Sud;2ème circonscription;Monsieur;Paul-André Colombani;Libertéetterritoire;paul-andre.colombani@assemblee-nationale.fr;https://www.facebook.com/PAcolombani/;@pacolombani;https://twitter.com/@pacolombani
Côte-d'Or;1ère circonscription;Monsieur;Didier Martin;LREM;didier.martin@assemblee-nationale.fr;https://fr-fr.facebook.com/didier.martin.enmarche/;@dmartindijon;https://twitter.com/@dmartindijon
Côte-d'Or;2ème circonscription;Monsieur;Rémi Delatte;LR;remi.delatte@assemblee-nationale.fr;https://www.facebook.com/remi.delatte;Pas de compte Twitter;Pas de compte Twitter
Côte-d'Or;3ème circonscription;Madame;Fadila Khattabi;LREM;fadila.khattabi@assemblee-nationale.fr;https://fr-fr.facebook.com/fadila.khattabi/;@KhattabiF;https://twitter.com/@KhattabiF
Côte-d'Or;4ème circonscription;Madame;Yolaine de Courson;non inscrit;yolaine.decourson@assemblee-nationale.fr;https://www.facebook.com/YolaineDC/;Pas de compte Twitter;Pas de compte Twitter
Côte-d'Or;5ème circonscription;Monsieur;Didier Paris;LREM;didier.paris@assemblee-nationale.fr;https://fr-fr.facebook.com/didierparis2017/;@DidierParis;https://twitter.com/@DidierParis
Côtes-d'Armor;1ère circonscription;Monsieur;Bruno Joncour;MODEM;bruno.joncour@assemblee-nationale.fr;https://fr-fr.facebook.com/bruno.joncour/;@BJoncour;https://twitter.com/@BJoncour
Côtes-d'Armor;2ème circonscription;Monsieur;Hervé Berville;LREM;herve.berville@assemblee-nationale.fr;https://fr-fr.facebook.com/HerveBerville/;@HerveBerville;https://twitter.com/@HerveBerville
Côtes-d'Armor;3ème circonscription;Monsieur;Marc Le Fur;LR;marc.lefur@assemblee-nationale.fr;https://fr-fr.facebook.com/marclefur2017/;@marclefur;https://twitter.com/@marclefur
Côtes-d'Armor;4ème circonscription;Monsieur;Yannick Kerlogot;LREM;yannick.kerlogot@assemblee-nationale.fr;https://fr-fr.facebook.com/blogyannickkerlogot/;@Kerlogot22;https://twitter.com/@Kerlogot22
Côtes-d'Armor;5ème circonscription;Monsieur;Éric Bothorel;LREM;eric.bothorel@assemblee-nationale.fr;https://fr-fr.facebook.com/Eric-Bothorel-Député-circo2205/;@ebothorel;https://twitter.com/@ebothorel
Creuse;1ère circonscription;Monsieur;Jean-Baptiste Moreau;LREM;jean-baptiste.moreau@assemblee-nationale.fr;https://fr-fr.facebook.com/jeanbaptistemoreaudepute/;@moreaujb23;https://twitter.com/@moreaujb23
Deux-Sèvres;1ère circonscription;Monsieur;Guillaume Chiche;non inscrit;guillaume.chiche@assemblee-nationale.fr;https://fr-fr.facebook.com/guillaume.chiche/;@GuillaumeChiche;https://twitter.com/@GuillaumeChiche
Deux-Sèvres;2ème circonscription;Madame;Delphine Batho;non inscrit;delphine.batho@assemblee-nationale.fr;https://fr-fr.facebook.com/DelphineBatho/;@delphinebatho;https://twitter.com/@delphinebatho
Deux-Sèvres;3ème circonscription;Monsieur;Jean-Marie Fiévet;LREM;jean-marie.fievet@assemblee-nationale.fr;https://www.facebook.com/FIEVETJeanMarie/;@JeanMarieFIEVET;https://twitter.com/@JeanMarieFIEVET
Dordogne;1ère circonscription;Monsieur;Philippe Chassaing;LREM;philippe.chassaing@assemblee-nationale.fr;https://fr-fr.facebook.com/PhChassaing.Depute24/;@ChassaingPh;https://twitter.com/@ChassaingPh
Dordogne;2ème circonscription;Monsieur;Michel Delpon;LREM;michel.delpon@assemblee-nationale.fr;https://fr-fr.facebook.com/micheldelpon/;@micheldelpon;https://twitter.com/@micheldelpon
Dordogne;3ème circonscription;Monsieur;Jean-Pierre Cubertafon;MODEM;jean-pierre.cubertafon@assemblee-nationale.fr;https://fr-fr.facebook.com/jeanpierre.cubertafon/;;Pas de compte Twitter
Dordogne;4ème circonscription;Madame;Jacqueline Dubois;LREM;jacqueline.dubois@assemblee-nationale.fr;https://fr-fr.facebook.com/jacqueline.dubois.319/;@jacqlinedubois;https://twitter.com/@jacqlinedubois
Doubs;1ère circonscription;Madame;Fannette Charvier;LREM;fannette.charvier@assemblee-nationale.fr;https://fr-fr.facebook.com/FannetteCharvier/;@F_Charvier;https://twitter.com/@F_Charvier
Doubs;2ème circonscription;Monsieur;Éric Alauzet;LREM;eric.alauzet@assemblee-nationale.fr;https://fr-fr.facebook.com/ericalauzet/;@ericalauzet;https://twitter.com/@ericalauzet
Doubs;3ème circonscription;Monsieur;Denis Sommer;LREM;denis.sommer@assemblee-nationale.fr;https://www.facebook.com/denis.sommer;@DenisSommer;https://twitter.com/@DenisSommer
Doubs;4ème circonscription;Monsieur;Frédéric Barbier;LREM;frederic.barbier@assemblee-nationale.fr;https://www.facebook.com/frederic.barbier.73;@Fred_Barbier;https://twitter.com/@Fred_Barbier
Doubs;5ème circonscription;Madame;Annie Genevard;LR;annie.genevard@assemblee-nationale.fr;https://www.facebook.com/AnnieGenevard;@AnnieGenevard;https://twitter.com/@AnnieGenevard
Drôme;1ère circonscription;Madame;Mireille Clapot;LREM;mireille.clapot@assemblee-nationale.fr;https://fr-fr.facebook.com/CLAPOTMireille/;@clapotmireille;https://twitter.com/@clapotmireille
Drôme;2ème circonscription;Madame;Alice Thourot;LREM;alice.thourot@assemblee-nationale.fr;https://fr-fr.facebook.com/AThourot/;@AliceThourot;https://twitter.com/@AliceThourot
Drôme;3ème circonscription;Madame;Célia de Lavergne;LREM;celia.delavergne@assemblee-nationale.fr;https://fr-fr.facebook.com/celiadeputee2017/;@CdLavergne;https://twitter.com/@CdLavergne
Drôme;4ème circonscription;Madame;Emmanuelle Anthoine;LR;emmanuelle.anthoine@assemblee-nationale.fr;https://fr-fr.facebook.com/emmanuelle.anthoine.1/;@eanthoine26;https://twitter.com/@eanthoine26
Essonne;1ère circonscription;Monsieur;Francis Chouat;LREM;Francis.Chouat@assemblee-nationale.fr;https://fr-fr.facebook.com/Francis-Chouat-1711211815576292//;@fchouat;https://twitter.com/@fchouat
Essonne;2ème circonscription;Monsieur;Bernard Bouley;LR;bernard.bouley@assemblee-nationale.fr;https://www.facebook.com/bernard.bouley.5;@BouleyBernard;https://twitter.com/@BouleyBernard
Essonne;3ème circonscription;Madame;Laëtitia Romeiro Dias;LREM;laetitia.romeirodias@assemblee-nationale.fr;https://www.facebook.com/LRomeiroDias/;@Romeiro1L;https://twitter.com/@Romeiro1L
Essonne;4ème circonscription;Madame;Marie-Pierre Rixain;LREM;marie-pierre.rixain@assemblee-nationale.fr;https://www.facebook.com/RixainMP/;@RixainMP;https://twitter.com/@RixainMP
Essonne;5ème circonscription;Monsieur;Cédric Villani;non inscrit;cedric.villani@assemblee-nationale.fr;https://fr-fr.facebook.com/CedricVillaniOfficiel/;@VillaniCedric;https://twitter.com/@VillaniCedric
Essonne;6ème circonscription;Madame;Stéphanie Atger;LREM;Stephanie.Atger@assemblee-nationale.fr;https://fr-fr.facebook.com/stephanie.atger/;@StephanieAtger;https://twitter.com/@StephanieAtger
Essonne;7ème circonscription;Monsieur;Robin Reda;LR;robin.reda@assemblee-nationale.fr;https://fr-fr.facebook.com/RobinReda/;@robinreda;https://twitter.com/@robinreda
Essonne;8ème circonscription;Monsieur;Nicolas Dupont-Aignan;non inscrit;nicolas.dupont-aignan@assemblee-nationale.fr;https://www.facebook.com/nicolasdupontaignan;@dupontaignan;https://twitter.com/@dupontaignan
Essonne;9ème circonscription;Madame;Marie Guévenoux;LREM;marie.guevenoux@assemblee-nationale.fr;https://fr-fr.facebook.com/GuevenouxMarie/;@mguevenoux;https://twitter.com/@mguevenoux
Essonne;10ème circonscription;Monsieur;Pierre-Alain Raphan;LREM;pierre-alain.raphan@assemblee-nationale.fr;https://www.facebook.com/pa.Raphan.LREM/;@PA_Raphan;https://twitter.com/@PA_Raphan
Eure;1ère circonscription;Madame;Séverine Gipson;LREM;Severine.Gipson@assemblee-nationale.fr;https://www.facebook.com/severine.gipson.7;@severine_gipson;https://twitter.com/@severine_gipson
Eure;2ème circonscription;Monsieur;Fabien Gouttefarde;LREM;fabien.gouttefarde@assemblee-nationale.fr;https://fr-fr.facebook.com/FGouttefarde/;@FGouttefarde;https://twitter.com/@FGouttefarde
Eure;3ème circonscription;Madame;Marie Tamarelle-Verhaeghe;LREM;marie.tamarelle-verhaegue@assemblee-nationale.fr;https://fr-fr.facebook.com/Marie-Tamarelle-Verhaeghe-En-Marche-Législatives-2017/;@marietamarelle;https://twitter.com/@marietamarelle
Eure;4ème circonscription;Monsieur;Bruno Questel;LREM;bruno.questel@assemblee-nationale.fr;https://www.facebook.com/BQofficiel/;@BQuestel;https://twitter.com/@BQuestel
Eure;5ème circonscription;Madame;Claire O'Petit;LREM;claire.opetit@assemblee-nationale.fr;https://www.facebook.com/claire.opetit;@claireopetit;https://twitter.com/@claireopetit
Eure-et-Loir;1ère circonscription;Monsieur;Guillaume Kasbarian;LREM;guillaume.kasbarian@assemblee-nationale.fr;https://fr-fr.facebook.com/kasbarian2017/;@guillaumekasba;https://twitter.com/@guillaumekasba
Eure-et-Loir;2ème circonscription;Monsieur;Olivier Marleix;LR;olivier.marleix@assemblee-nationale.fr;https://www.facebook.com/MarleixOlivier;@oliviermarleix;https://twitter.com/@oliviermarleix
Eure-et-Loir;3ème circonscription;Monsieur;Luc Lamirault;AE;Luc.Lamirault@assemblee-nationale.fr;https://fr-fr.facebook.com/laure.delaraudiere/;@lauredlr;https://twitter.com/@lauredlr
Eure-et-Loir;4ème circonscription;Monsieur;Philippe Vigier;MODEM;philippe.vigier@assemblee-nationale.fr;https://www.facebook.com/deputephilippevigier/;@VigierPhilippe;https://twitter.com/@VigierPhilippe
